Wall time,Step,Value
1733147534.73869,16384,176.70787048339844
1733147567.106387,32768,183.57000732421875
1733147598.991095,49152,182.99000549316406
1733147631.6278524,65536,182.47000122070312
1733147662.8068426,81920,171.66000366210938
1733147694.7557762,98304,187.50999450683594
1733147726.9404833,114688,207.77000427246094
1733147759.3509305,131072,224.94000244140625
1733147791.5113401,147456,253.89999389648438
1733147823.825362,163840,339.5799865722656
1733147856.0538018,180224,391.760009765625
1733147888.3427086,196608,450.75
1733147920.789377,212992,467.7200012207031
1733147952.5855148,229376,568.5499877929688
1733147984.3933702,245760,655.5700073242188
1733148017.2617223,262144,668.5700073242188
1733148050.1631892,278528,636.3900146484375
1733148082.9482281,294912,739.6599731445312
1733148117.857794,311296,730.4500122070312
1733148150.41428,327680,780.4199829101562
1733148183.8332534,344064,837.5399780273438
1733148217.9322467,360448,913.1500244140625
1733148253.9173207,376832,990.9000244140625
1733148289.5738356,393216,978.0599975585938
1733148323.179282,409600,1132.2099609375
1733148356.344637,425984,1186.0799560546875
1733148389.4889123,442368,1222.5799560546875
1733148423.1519537,458752,1263.18994140625
1733148455.385698,475136,1300.4200439453125
1733148487.6444001,491520,1356.8499755859375
1733148522.4204552,507904,1426.1800537109375
1733148556.6708262,524288,1356.1800537109375
1733148589.53372,540672,1376.2900390625
1733148622.1790023,557056,1376.489990234375
1733148655.3839164,573440,1304.949951171875
1733148695.825573,589824,1287.449951171875
1733148736.8165696,606208,1269.3599853515625
1733148777.7109709,622592,1216.9000244140625
1733148821.2291517,638976,1197.3599853515625
1733148866.0753515,655360,1286.7900390625
1733148910.6996033,671744,1266.010009765625
1733148955.5942655,688128,1284.1600341796875
1733148998.2791939,704512,1373.239990234375
1733149044.1199486,720896,1342.4100341796875
1733149090.3237562,737280,1346.6300048828125
1733149136.318905,753664,1343.969970703125
1733149180.928358,770048,1293.2900390625
1733149225.5573797,786432,1311.0799560546875
1733149268.828008,802816,1311.1300048828125
1733149309.7017856,819200,1327.1500244140625
1733149349.6958418,835584,1291.3399658203125
1733149389.6330767,851968,1288.52001953125
1733149429.590372,868352,1373.1400146484375
1733149469.0263646,884736,1354.27001953125
1733149508.8010511,901120,1407.93994140625
1733149549.0443728,917504,1489.6600341796875
1733149589.3056107,933888,1493.030029296875
1733149629.60328,950272,1543.8399658203125
1733149669.366697,966656,1563.9300537109375
1733149709.5270586,983040,1582.9300537109375
1733149749.311042,999424,1582.1700439453125
1733149789.0310085,1015808,1601.949951171875
1733149829.308164,1032192,1638.1099853515625
1733149869.379457,1048576,1656.3900146484375
1733149909.620356,1064960,1673.8199462890625
1733149949.8120928,1081344,1691.22998046875
1733149989.3330715,1097728,1688.6400146484375
1733150029.1712828,1114112,1689.2900390625
1733150069.0706394,1130496,1705.3800048828125
1733150108.9696872,1146880,1740.0899658203125
1733150149.0339184,1163264,1758.3900146484375
1733152055.2064362,1179648,1762.77001953125
1733152093.7275198,1196032,1748.1600341796875
1733152132.4339747,1212416,1727.989990234375
1733152171.178991,1228800,1727.68994140625
1733152210.2047591,1245184,1693.93994140625
1733152249.9622,1261568,1714.3900146484375
1733152291.3837106,1277952,1714.739990234375
1733152331.1978369,1294336,1718.1600341796875
1733152371.6450295,1310720,1736.3900146484375
1733152411.4968207,1327104,1703.3499755859375
1733152451.7344398,1343488,1668.0
1733152491.9135454,1359872,1664.050048828125
1733152530.1587987,1376256,1682.97998046875
1733152570.4978395,1392640,1701.22998046875
1733152610.2042854,1409024,1700.5999755859375
1733152649.6490383,1425408,1698.3499755859375
1733152688.7132647,1441792,1628.0
1733152727.781082,1458176,1641.5
1733152770.2612176,1474560,1624.2099609375
1733152813.4923685,1490944,1603.300048828125
1733152856.6899502,1507328,1637.27001953125
1733152899.7116036,1523712,1600.5
1733152942.62372,1540096,1598.760009765625
1733152983.1985931,1556480,1599.5999755859375
1733153023.5381064,1572864,1597.800048828125
1733153062.8890827,1589248,1602.449951171875
1733153103.20219,1605632,1653.780029296875
1733153143.5241077,1622016,1636.22998046875
1733153183.554066,1638400,1637.5699462890625
1733153223.6962316,1654784,1674.239990234375
1733153264.3042655,1671168,1673.8199462890625
1733153304.6211119,1687552,1691.9300537109375
1733153344.8432148,1703936,1710.0400390625
1733153385.111202,1720320,1711.0799560546875
1733153428.0381942,1736704,1713.1400146484375
1733153467.7247655,1753088,1708.530029296875
1733153506.5031106,1769472,1620.72998046875
1733153545.3749025,1785856,1637.4000244140625
1733153583.7140496,1802240,1582.8599853515625
1733153622.3047562,1818624,1596.699951171875
1733153660.8458276,1835008,1578.489990234375
1733153699.758454,1851392,1508.1400146484375
1733153738.7719986,1867776,1525.7900390625
1733153778.0424683,1884160,1527.3900146484375
1733153816.9126866,1900544,1596.510009765625
1733153856.8948913,1916928,1580.3599853515625
1733153898.51839,1933312,1651.4599609375
1733153940.0838685,1949696,1669.4300537109375
1733153982.0252378,1966080,1688.9599609375
1733154022.647467,1982464,1742.6300048828125
1733154064.888374,1998848,1707.1800537109375
1733154107.9457607,2015232,1709.8599853515625
